date,收盘价(前复权)(元),股息率(Tushare)(%),十年,股债性价比,温度计
2004-01-02,1.8100,4.1962,3.1524,1.3311,16.4522
2004-01-05,1.9000,4.0118,3.8984,1.0291,31.6374
2004-01-06,1.9700,3.8723,4.2513,0.9109,40.0585
2004-01-07,1.9900,3.8269,3.7457,1.0217,32.0858
2004-01-08,2.0100,3.7888,3.8526,0.9834,34.8733
2004-01-09,1.9400,3.9188,3.8937,1.0064,33.0604
2004-01-12,2.0100,3.7951,3.7339,1.0164,32.3977
2004-01-13,1.9800,3.8365,3.9283,0.9766,35.3216
2004-01-14,1.9400,3.9290,3.6318,1.0818,28.0312
2004-01-15,1.9300,3.9391,3.7471,1.0512,30.2924
2004-01-16,1.9400,3.9188,3.7248,1.0521,30.2144
2004-01-29,1.9800,3.8495,3.7954,1.0143,32.5341
2004-01-30,1.9100,3.9769,3.8706,1.0275,31.6764
2004-02-02,2.0000,3.8141,3.8742,0.9845,34.7368
2004-02-03,2.0200,3.7731,3.8597,0.9776,35.2827
2004-02-04,2.0600,3.6997,3.9247,0.9427,37.6413
2004-02-05,2.0500,3.7148,3.8131,0.9742,35.5361
2004-02-06,2.0400,3.7299,3.9176,0.9521,37.1150
2004-02-09,2.0700,3.6729,3.8086,0.9644,36.2183
2004-02-10,2.0300,3.7452,3.8094,0.9831,34.8928
2004-02-11,2.0000,3.8109,3.6915,1.0323,31.4425
2004-02-12,1.9600,3.8855,3.8403,1.0118,32.6901
2004-02-13,1.9600,3.8822,3.8469,1.0092,32.9240
2004-02-16,2.0500,3.7148,3.7942,0.9791,35.1657
2004-02-17,2.0500,3.7178,3.8259,0.9717,35.6725
2004-02-18,2.0300,3.7576,3.8753,0.9696,35.8285
2004-02-19,2.0000,3.8141,3.8225,0.9978,33.6842
2004-02-20,2.0200,3.7607,3.8289,0.9822,34.9513
2004-02-23,1.9400,3.9155,3.8481,1.0175,32.3197
2004-02-24,1.9200,3.9700,3.7621,1.0553,29.9025
2004-02-25,1.8600,4.0909,3.8337,1.0671,29.2008
2004-02-26,1.8800,4.0510,3.7724,1.0739,28.6160
2004-02-27,1.8600,4.0946,3.8105,1.0746,28.5380
2004-03-01,1.8400,4.1279,3.8553,1.0707,28.9084
2004-03-02,1.8600,4.0946,3.9244,1.0434,30.7992
2004-03-03,1.8400,4.1391,3.9102,1.0585,29.7271
2004-03-04,1.8500,4.1130,3.7857,1.0865,27.7388
2004-03-05,1.8300,4.1580,3.8959,1.0673,29.1618
2004-03-08,1.7800,4.2828,3.7271,1.1491,24.2690
2004-03-09,1.7800,4.2708,3.8364,1.1132,26.1598
2004-03-10,1.8400,4.1354,3.8651,1.0699,28.9279
2004-03-11,1.8400,4.1466,3.8973,1.0640,29.3567
2004-03-12,1.8100,4.1962,3.9098,1.0733,28.6745
2004-03-15,1.8800,4.0546,3.8422,1.0553,29.8830
2004-03-16,1.8700,4.0763,3.7146,1.0974,27.0175
2004-03-17,1.8800,4.0438,3.8129,1.0606,29.6296
2004-03-18,1.8600,4.0946,3.8639,1.0597,29.6881
2004-03-22,1.8900,4.0331,3.8717,1.0417,30.9552
2004-03-23,1.8600,4.0983,3.8858,1.0547,29.9805
2004-03-24,1.8500,4.1242,3.9508,1.0439,30.7797
2004-03-25,1.8500,4.1056,3.9207,1.0472,30.5848
2004-03-26,1.8600,4.0909,3.8891,1.0519,30.2339
2004-03-29,1.8500,4.1093,3.9486,1.0407,31.0136
2004-03-30,1.8300,4.1580,3.9180,1.0613,29.5712
2004-03-31,1.8300,4.1694,3.9169,1.0645,29.3372
2004-04-01,1.8600,4.0909,3.9984,1.0231,31.9883
2004-04-05,1.8600,4.0946,3.9144,1.0460,30.6628
2004-04-06,1.8600,4.1019,3.9210,1.0461,30.6433
2004-04-07,1.8300,4.1542,4.0357,1.0294,31.6179
2004-04-08,1.8100,4.2039,3.9325,1.0690,29.0058
2004-04-09,1.7800,4.2748,3.8125,1.1213,25.7115
2004-04-12,1.7700,4.3111,4.2585,1.0124,32.6121
2004-04-13,1.7500,4.3439,4.0871,1.0628,29.4542
2004-04-14,1.7300,4.4111,4.0197,1.0974,27.0370
2004-04-15,1.7200,4.4282,4.0298,1.0989,26.9591
2004-04-16,1.7400,4.3730,4.1717,1.0483,30.4873
2004-04-19,1.7200,4.4282,4.3781,1.0114,32.7096
2004-04-20,1.7600,4.3357,4.3421,0.9985,33.6257
2004-04-21,1.7300,4.3899,4.4034,0.9969,33.7427
2004-04-22,1.7500,4.3522,4.3105,1.0097,32.9045
2004-04-23,1.7200,4.4153,4.3191,1.0223,32.0468
2004-04-26,1.7300,4.3941,4.2202,1.0412,30.9747
2004-04-27,1.7500,4.3439,4.1195,1.0545,30.0000
2004-04-28,1.7800,4.2668,4.1827,1.0201,32.2027
2004-04-29,1.8100,4.2156,4.7672,0.8843,42.4561
2004-04-30,1.8200,4.1808,4.2841,0.9759,35.3801
2004-05-10,1.7700,4.3070,4.4457,0.9688,35.8869
2004-05-11,1.8000,4.2556,4.4969,0.9463,37.4074
2004-05-12,1.8300,4.1854,4.4111,0.9488,37.3099
2004-05-13,1.8300,4.1854,4.3940,0.9525,37.0760
2004-05-14,1.8000,4.2556,4.2026,1.0126,32.5731
2004-05-17,1.7500,4.3882,4.0394,1.0863,27.7583
2004-05-18,1.7600,4.3680,4.0367,1.0821,28.0117
2004-05-19,1.7700,4.3381,4.1587,1.0431,30.8577
2004-05-20,1.7900,4.2796,4.5566,0.9392,37.8752
2004-05-21,1.8100,4.2509,4.4170,0.9624,36.3743
2004-05-24,1.8100,4.2320,4.3252,0.9785,35.1852
2004-05-25,1.7900,4.2844,4.0558,1.0564,29.8441
2004-05-26,1.7900,4.2844,4.2675,1.0040,33.2359
2004-05-27,1.8300,4.1993,4.4654,0.9404,37.7973
2004-05-28,1.8200,4.2226,4.2909,0.9841,34.8148
2004-05-31,1.8300,4.1900,4.6123,0.9084,40.2729
2004-06-01,1.8700,4.1041,4.2120,0.9744,35.4971
2004-06-02,1.8600,4.1264,4.1946,0.9837,34.8343
2004-06-03,1.8200,4.2273,4.1249,1.0248,31.9493
2004-06-04,1.8100,4.2414,4.1287,1.0273,31.7349
2004-06-07,1.7800,4.3135,4.2625,1.0120,32.6511
2004-06-08,1.7500,4.3781,4.3123,1.0153,32.4951
2004-06-09,1.7600,4.3580,4.4238,0.9851,34.6979
2004-06-10,1.7400,4.4034,4.4352,0.9928,34.0156
2004-06-11,1.7300,4.4394,4.4333,1.0014,33.4113
2004-06-14,1.7100,4.4759,4.6821,0.9560,36.7836
2004-06-15,1.7700,4.3381,4.4172,0.9821,34.9708
2004-06-16,1.7600,4.3680,4.5856,0.9525,37.0565
2004-06-17,1.7200,4.4550,4.4614,0.9986,33.6062
2004-06-18,1.6800,4.5783,4.2855,1.0683,29.0643
2004-06-21,1.6700,4.5838,4.2874,1.0691,28.9669
2004-06-22,1.7000,4.5185,4.2854,1.0544,30.0195
2004-06-23,1.6800,4.5563,4.1158,1.1070,26.5302
2004-06-24,1.6900,4.5509,4.1205,1.1045,26.7446
2004-06-28,1.6700,4.6004,4.4138,1.0423,30.9162
2004-06-29,1.7100,4.4918,4.2664,1.0528,30.0975
2004-06-30,1.7100,4.4865,4.3480,1.0319,31.4620
2004-07-01,1.7500,4.3882,4.4671,0.9823,34.9318
2004-07-02,1.7600,4.3580,4.5468,0.9585,36.6667
2004-07-05,1.7500,4.3730,4.4168,0.9901,34.2495
2004-07-06,1.7700,4.3283,4.4557,0.9714,35.7115
2004-07-07,1.7600,4.3680,4.6316,0.9431,37.6023
2004-07-08,1.7800,4.3038,4.6531,0.9249,38.8889
2004-07-09,1.7900,4.2844,4.4895,0.9543,36.8421
2004-07-12,1.7600,4.3481,4.6172,0.9417,37.7583
2004-07-13,1.7800,4.3038,4.8227,0.8924,41.6569
2004-07-14,1.8100,4.2509,5.0474,0.8422,46.3938
2004-07-15,1.8400,4.1717,4.9666,0.8400,46.6472
2004-07-16,1.8600,4.1354,4.6250,0.8941,41.4230
2004-07-19,1.8600,4.1264,4.6158,0.8940,41.4425
2004-07-20,1.8500,4.1489,4.6903,0.8846,42.4172
2004-07-21,1.8600,4.1354,4.6153,0.8960,41.2281
2004-07-22,1.7900,4.2941,4.5430,0.9452,37.4269
2004-07-23,1.8100,4.2461,4.9046,0.8657,44.2885
2004-07-26,1.7800,4.3038,4.7049,0.9147,39.7271
2004-07-27,1.7500,4.3781,4.7444,0.9228,39.1813
2004-07-28,1.7600,4.3481,4.5839,0.9486,37.3489
2004-07-29,1.8000,4.2556,4.5844,0.9283,38.5965
2004-07-30,1.8100,4.2509,4.6018,0.9237,38.9864
2004-08-02,1.8100,4.2367,4.5823,0.9246,38.9279
2004-08-03,1.7800,4.3184,4.6329,0.9321,38.2846
2004-08-04,1.8300,4.1900,4.9229,0.8511,45.5945
2004-08-05,1.8000,4.2700,4.4481,0.9600,36.5887
2004-08-06,1.8000,4.2556,4.4800,0.9499,37.2320
2004-08-09,1.8500,4.1534,4.6375,0.8956,41.2671
2004-08-10,1.8700,4.1041,4.6546,0.8817,42.6706
2004-08-11,1.8400,4.1717,4.9325,0.8458,45.9844
2004-08-12,1.8500,4.1534,4.7544,0.8736,43.5088
2004-08-13,1.8700,4.0997,4.7084,0.8707,43.8596
2004-08-16,1.8600,4.1309,4.7610,0.8677,44.1715
2004-08-17,1.8700,4.0953,4.8876,0.8379,46.9396
2004-08-18,1.8900,4.0517,4.9165,0.8241,48.8109
2004-08-19,1.8900,4.0560,4.9514,0.8192,49.4542
2004-08-20,1.9000,4.0388,4.9654,0.8134,50.4288
2004-08-23,1.8700,4.1130,4.8886,0.8413,46.5107
2004-08-24,1.8700,4.1086,4.9250,0.8342,47.4269
2004-08-25,1.8500,4.1444,5.0239,0.8249,48.6160
2004-08-26,1.8600,4.1354,5.0648,0.8165,49.8830
2004-08-27,1.8500,4.1444,5.1082,0.8113,50.7602
2004-08-30,1.8400,4.1717,4.9779,0.8380,46.8811
2004-08-31,1.8600,4.1219,5.1676,0.7976,52.6901
2004-09-01,1.8200,4.2226,5.0037,0.8439,46.1793
2004-09-02,1.8100,4.2461,5.0886,0.8344,47.3879
2004-09-03,1.8000,4.2652,5.1487,0.8284,48.1287
2004-09-06,1.7900,4.2941,5.1459,0.8345,47.3684
2004-09-07,1.8200,4.2273,5.1358,0.8231,48.8889
2004-09-08,1.8000,4.2604,5.1422,0.8285,48.0897
2004-09-09,1.7700,4.3332,5.1501,0.8414,46.4912
2004-09-10,1.7900,4.2989,5.3727,0.8001,52.3392
2004-09-13,1.7600,4.3580,5.2062,0.8371,46.9981
2004-09-14,1.8000,4.2556,5.2588,0.8092,50.9357
2004-09-15,1.8700,4.1041,5.2149,0.7870,53.7817
2004-09-16,1.8900,4.0603,5.1743,0.7847,54.1910
2004-09-17,1.9400,3.9548,5.1718,0.7647,56.6862
2004-09-20,1.9800,3.8703,5.2687,0.7346,60.2924
2004-09-21,1.9400,3.9589,5.0207,0.7885,53.6452
2004-09-22,1.8800,4.0778,5.2731,0.7733,55.7700
2004-09-23,1.9800,3.8743,5.1776,0.7483,58.3236
2004-09-24,1.9100,4.0090,5.1429,0.7795,54.9903
2004-09-27,1.9000,4.0474,5.1556,0.7850,54.1131
2004-09-28,1.9000,4.0474,5.1374,0.7878,53.7037
2004-09-29,1.9000,4.0474,5.1657,0.7835,54.3665
2004-09-30,1.8900,4.0647,5.1266,0.7929,53.1774
2004-10-08,1.8700,4.0953,5.3191,0.7699,56.1014
2004-10-11,1.8300,4.1854,5.0682,0.8258,48.4990
2004-10-12,1.7900,4.2892,5.0575,0.8481,45.6920
2004-10-13,1.8000,4.2748,4.9650,0.8610,44.6979
2004-10-14,1.7700,4.3283,4.9812,0.8689,43.9571
2004-10-15,1.7900,4.2844,5.0177,0.8539,45.3216
