index_code,con_code,trade_date,weight
h30269.CSI,600188.SH,20201231,4.071
h30269.CSI,000718.SZ,20201231,3.643
h30269.CSI,600282.SH,20201231,3.284
h30269.CSI,600395.SH,20201231,3.103
h30269.CSI,002233.SZ,20201231,2.569
h30269.CSI,601006.SH,20201231,2.434
h30269.CSI,601088.SH,20201231,2.383
h30269.CSI,600016.SH,20201231,2.366
h30269.CSI,600348.SH,20201231,2.275
h30269.CSI,600919.SH,20201231,2.179
h30269.CSI,601328.SH,20201231,2.157
h30269.CSI,600350.SH,20201231,2.13
h30269.CSI,601169.SH,20201231,2.123
h30269.CSI,600153.SH,20201231,2.089
h30269.CSI,600325.SH,20201231,2.068
h30269.CSI,000656.SZ,20201231,2.056
h30269.CSI,601988.SH,20201231,2.05
h30269.CSI,601009.SH,20201231,1.993
h30269.CSI,603878.SH,20201231,1.987
h30269.CSI,002128.SZ,20201231,1.966
h30269.CSI,601288.SH,20201231,1.966
h30269.CSI,002146.SZ,20201231,1.931
h30269.CSI,600606.SH,20201231,1.917
h30269.CSI,600023.SH,20201231,1.909
h30269.CSI,600704.SH,20201231,1.902
h30269.CSI,600340.SH,20201231,1.875
h30269.CSI,601098.SH,20201231,1.867
h30269.CSI,600479.SH,20201231,1.858
h30269.CSI,601398.SH,20201231,1.819
h30269.CSI,600025.SH,20201231,1.811
h30269.CSI,601818.SH,20201231,1.81
h30269.CSI,000069.SZ,20201231,1.775
h30269.CSI,600377.SH,20201231,1.752
h30269.CSI,600048.SH,20201231,1.717
h30269.CSI,601166.SH,20201231,1.701
h30269.CSI,002004.SZ,20201231,1.681
h30269.CSI,600970.SH,20201231,1.679
h30269.CSI,600466.SH,20201231,1.677
h30269.CSI,001979.SZ,20201231,1.667
h30269.CSI,601939.SH,20201231,1.664
h30269.CSI,600566.SH,20201231,1.659
h30269.CSI,601838.SH,20201231,1.654
h30269.CSI,600170.SH,20201231,1.591
h30269.CSI,600585.SH,20201231,1.554
h30269.CSI,600308.SH,20201231,1.512
h30269.CSI,601928.SH,20201231,1.467
h30269.CSI,000002.SZ,20201231,1.458
h30269.CSI,600642.SH,20201231,1.416
h30269.CSI,600261.SH,20201231,1.415
h30269.CSI,600674.SH,20201231,1.37
