index_code,con_code,trade_date,weight
h30269.CSI,601800.SH,20141231,3.25
h30269.CSI,601988.SH,20141231,3.19
h30269.CSI,600795.SH,20141231,3.13
h30269.CSI,601939.SH,20141231,3.05
h30269.CSI,601288.SH,20141231,2.97
h30269.CSI,601398.SH,20141231,2.86
h30269.CSI,600000.SH,20141231,2.74
h30269.CSI,601006.SH,20141231,2.69
h30269.CSI,600036.SH,20141231,2.62
h30269.CSI,600660.SH,20141231,2.55
h30269.CSI,600863.SH,20141231,2.41
h30269.CSI,600004.SH,20141231,2.37
h30269.CSI,600183.SH,20141231,2.35
h30269.CSI,601088.SH,20141231,2.33
h30269.CSI,601818.SH,20141231,2.25
h30269.CSI,601877.SH,20141231,2.25
h30269.CSI,601328.SH,20141231,2.25
h30269.CSI,601158.SH,20141231,2.23
h30269.CSI,601668.SH,20141231,2.2
h30269.CSI,601009.SH,20141231,2.19
h30269.CSI,600900.SH,20141231,2.14
h30269.CSI,600015.SH,20141231,2.08
h30269.CSI,600309.SH,20141231,2.02
h30269.CSI,600104.SH,20141231,2.01
h30269.CSI,601799.SH,20141231,1.95
h30269.CSI,600011.SH,20141231,1.91
h30269.CSI,000726.SZ,20141231,1.88
h30269.CSI,601166.SH,20141231,1.87
h30269.CSI,601566.SH,20141231,1.86
h30269.CSI,000690.SZ,20141231,1.81
h30269.CSI,601857.SH,20141231,1.71
h30269.CSI,000651.SZ,20141231,1.68
h30269.CSI,600741.SH,20141231,1.66
h30269.CSI,600266.SH,20141231,1.63
h30269.CSI,601018.SH,20141231,1.57
h30269.CSI,600694.SH,20141231,1.56
h30269.CSI,600642.SH,20141231,1.56
h30269.CSI,603366.SH,20141231,1.53
h30269.CSI,601991.SH,20141231,1.44
h30269.CSI,002142.SZ,20141231,1.43
h30269.CSI,000858.SZ,20141231,1.42
h30269.CSI,002275.SZ,20141231,1.35
h30269.CSI,000989.SZ,20141231,1.34
h30269.CSI,600021.SH,20141231,1.34
h30269.CSI,600519.SH,20141231,1.32
h30269.CSI,000539.SZ,20141231,1.29
h30269.CSI,600622.SH,20141231,1.23
h30269.CSI,600271.SH,20141231,1.18
h30269.CSI,000027.SZ,20141231,1.18
h30269.CSI,000012.SZ,20141231,1.14
