index_code,con_code,trade_date,weight
h30269.CSI,600104.SH,20161230,4.104
h30269.CSI,600660.SH,20161230,3.748
h30269.CSI,601006.SH,20161230,3.697
h30269.CSI,600011.SH,20161230,3.232
h30269.CSI,600177.SH,20161230,3.059
h30269.CSI,601818.SH,20161230,3.027
h30269.CSI,601328.SH,20161230,3.021
h30269.CSI,600027.SH,20161230,2.995
h30269.CSI,000726.SZ,20161230,2.956
h30269.CSI,600741.SH,20161230,2.838
h30269.CSI,600036.SH,20161230,2.671
h30269.CSI,600023.SH,20161230,2.654
h30269.CSI,601166.SH,20161230,2.494
h30269.CSI,000600.SZ,20161230,2.318
h30269.CSI,600900.SH,20161230,2.309
h30269.CSI,600886.SH,20161230,2.284
h30269.CSI,000002.SZ,20161230,2.038
h30269.CSI,000402.SZ,20161230,1.998
h30269.CSI,600859.SH,20161230,1.998
h30269.CSI,600016.SH,20161230,1.983
h30269.CSI,002142.SZ,20161230,1.943
h30269.CSI,601668.SH,20161230,1.917
h30269.CSI,600398.SH,20161230,1.91
h30269.CSI,600585.SH,20161230,1.878
h30269.CSI,600583.SH,20161230,1.841
h30269.CSI,600020.SH,20161230,1.813
h30269.CSI,000625.SZ,20161230,1.804
h30269.CSI,000858.SZ,20161230,1.781
h30269.CSI,601601.SH,20161230,1.745
h30269.CSI,000543.SZ,20161230,1.706
h30269.CSI,600269.SH,20161230,1.684
h30269.CSI,600519.SH,20161230,1.647
h30269.CSI,600018.SH,20161230,1.615
h30269.CSI,600315.SH,20161230,1.61
h30269.CSI,000876.SZ,20161230,1.565
h30269.CSI,600563.SH,20161230,1.539
h30269.CSI,000418.SZ,20161230,1.473
h30269.CSI,601169.SH,20161230,1.414
h30269.CSI,600837.SH,20161230,1.398
h30269.CSI,000685.SZ,20161230,1.314
h30269.CSI,000100.SZ,20161230,1.305
h30269.CSI,600021.SH,20161230,1.298
h30269.CSI,600717.SH,20161230,1.186
h30269.CSI,600622.SH,20161230,1.163
h30269.CSI,600742.SH,20161230,1.128
h30269.CSI,000423.SZ,20161230,1.097
h30269.CSI,601607.SH,20161230,1.086
h30269.CSI,600009.SH,20161230,1.0
h30269.CSI,601018.SH,20161230,0.957
h30269.CSI,601186.SH,20161230,0.759
