index_code,con_code,trade_date,weight
h30269.CSI,000568.SZ,20131231,3.27
h30269.CSI,601799.SH,20131231,3.01
h30269.CSI,601988.SH,20131231,3.0
h30269.CSI,601939.SH,20131231,2.92
h30269.CSI,601398.SH,20131231,2.92
h30269.CSI,601288.SH,20131231,2.91
h30269.CSI,601006.SH,20131231,2.85
h30269.CSI,000541.SZ,20131231,2.69
h30269.CSI,600036.SH,20131231,2.69
h30269.CSI,601877.SH,20131231,2.63
h30269.CSI,000987.SZ,20131231,2.61
h30269.CSI,600015.SH,20131231,2.58
h30269.CSI,601328.SH,20131231,2.57
h30269.CSI,002372.SZ,20131231,2.48
h30269.CSI,600795.SH,20131231,2.48
h30269.CSI,600004.SH,20131231,2.47
h30269.CSI,600900.SH,20131231,2.38
h30269.CSI,601169.SH,20131231,2.35
h30269.CSI,601009.SH,20131231,2.33
h30269.CSI,601088.SH,20131231,2.32
h30269.CSI,600309.SH,20131231,2.3
h30269.CSI,600028.SH,20131231,2.18
h30269.CSI,601158.SH,20131231,2.17
h30269.CSI,000651.SZ,20131231,1.95
h30269.CSI,000726.SZ,20131231,1.93
h30269.CSI,600104.SH,20131231,1.9
h30269.CSI,600741.SH,20131231,1.89
h30269.CSI,300186.SZ,20131231,1.83
h30269.CSI,002251.SZ,20131231,1.8
h30269.CSI,601018.SH,20131231,1.79
h30269.CSI,600519.SH,20131231,1.7
h30269.CSI,000858.SZ,20131231,1.69
h30269.CSI,002275.SZ,20131231,1.65
h30269.CSI,600011.SH,20131231,1.62
h30269.CSI,601898.SH,20131231,1.52
h30269.CSI,600508.SH,20131231,1.46
h30269.CSI,600266.SH,20131231,1.46
h30269.CSI,601668.SH,20131231,1.44
h30269.CSI,600271.SH,20131231,1.43
h30269.CSI,600009.SH,20131231,1.42
h30269.CSI,600622.SH,20131231,1.4
h30269.CSI,002142.SZ,20131231,1.32
h30269.CSI,600662.SH,20131231,1.31
h30269.CSI,600642.SH,20131231,1.28
h30269.CSI,600362.SH,20131231,1.21
h30269.CSI,601991.SH,20131231,1.05
h30269.CSI,601766.SH,20131231,0.99
h30269.CSI,300039.SZ,20131231,0.99
h30269.CSI,601186.SH,20131231,0.97
h30269.CSI,000536.SZ,20131231,0.87
