index_code,con_code,trade_date,weight
h30269.CSI,600104.SH,20151231,3.513
h30269.CSI,000651.SZ,20151231,3.234
h30269.CSI,601398.SH,20151231,3.147
h30269.CSI,601288.SH,20151231,3.072
h30269.CSI,601939.SH,20151231,3.052
h30269.CSI,000002.SZ,20151231,2.915
h30269.CSI,601988.SH,20151231,2.905
h30269.CSI,600377.SH,20151231,2.842
h30269.CSI,600660.SH,20151231,2.796
h30269.CSI,600000.SH,20151231,2.769
h30269.CSI,600011.SH,20151231,2.657
h30269.CSI,601328.SH,20151231,2.604
h30269.CSI,600036.SH,20151231,2.592
h30269.CSI,601818.SH,20151231,2.577
h30269.CSI,601006.SH,20151231,2.498
h30269.CSI,600183.SH,20151231,2.377
h30269.CSI,000690.SZ,20151231,2.307
h30269.CSI,601009.SH,20151231,2.273
h30269.CSI,000488.SZ,20151231,2.159
h30269.CSI,601166.SH,20151231,2.15
h30269.CSI,600795.SH,20151231,2.118
h30269.CSI,000895.SZ,20151231,2.093
h30269.CSI,600694.SH,20151231,1.984
h30269.CSI,002394.SZ,20151231,1.972
h30269.CSI,000726.SZ,20151231,1.971
h30269.CSI,600900.SH,20151231,1.917
h30269.CSI,600741.SH,20151231,1.886
h30269.CSI,002142.SZ,20151231,1.783
h30269.CSI,601668.SH,20151231,1.734
h30269.CSI,600642.SH,20151231,1.705
h30269.CSI,600066.SH,20151231,1.686
h30269.CSI,002275.SZ,20151231,1.578
h30269.CSI,000600.SZ,20151231,1.573
h30269.CSI,000402.SZ,20151231,1.566
h30269.CSI,000550.SZ,20151231,1.499
h30269.CSI,000539.SZ,20151231,1.471
h30269.CSI,000418.SZ,20151231,1.471
h30269.CSI,600622.SH,20151231,1.39
h30269.CSI,600021.SH,20151231,1.355
h30269.CSI,600886.SH,20151231,1.341
h30269.CSI,600398.SH,20151231,1.335
h30269.CSI,600585.SH,20151231,1.304
h30269.CSI,600019.SH,20151231,1.275
h30269.CSI,000027.SZ,20151231,1.232
h30269.CSI,600690.SH,20151231,1.203
h30269.CSI,600018.SH,20151231,1.102
h30269.CSI,600563.SH,20151231,1.094
h30269.CSI,600761.SH,20151231,1.039
h30269.CSI,600271.SH,20151231,1.014
h30269.CSI,600717.SH,20151231,0.868
