index_code,con_code,trade_date,weight
h30269.CSI,600188.SH,20211231,4.057
h30269.CSI,600325.SH,20211231,3.214
h30269.CSI,601088.SH,20211231,3.15
h30269.CSI,000090.SZ,20211231,2.51
h30269.CSI,600350.SH,20211231,2.466
h30269.CSI,002003.SZ,20211231,2.375
h30269.CSI,000656.SZ,20211231,2.366
h30269.CSI,601328.SH,20211231,2.349
h30269.CSI,603886.SH,20211231,2.308
h30269.CSI,600023.SH,20211231,2.294
h30269.CSI,601169.SH,20211231,2.252
h30269.CSI,601098.SH,20211231,2.223
h30269.CSI,000581.SZ,20211231,2.183
h30269.CSI,000961.SZ,20211231,2.182
h30269.CSI,601928.SH,20211231,2.133
h30269.CSI,601988.SH,20211231,2.116
h30269.CSI,601000.SH,20211231,2.107
h30269.CSI,002443.SZ,20211231,2.094
h30269.CSI,601288.SH,20211231,2.042
h30269.CSI,600048.SH,20211231,1.976
h30269.CSI,601818.SH,20211231,1.968
h30269.CSI,002293.SZ,20211231,1.963
h30269.CSI,000069.SZ,20211231,1.943
h30269.CSI,600373.SH,20211231,1.937
h30269.CSI,600755.SH,20211231,1.875
h30269.CSI,600000.SH,20211231,1.868
h30269.CSI,601398.SH,20211231,1.857
h30269.CSI,600057.SH,20211231,1.854
h30269.CSI,600064.SH,20211231,1.811
h30269.CSI,600170.SH,20211231,1.787
h30269.CSI,601939.SH,20211231,1.786
h30269.CSI,600642.SH,20211231,1.778
h30269.CSI,600461.SH,20211231,1.771
h30269.CSI,600901.SH,20211231,1.763
h30269.CSI,600449.SH,20211231,1.757
h30269.CSI,601998.SH,20211231,1.739
h30269.CSI,002381.SZ,20211231,1.723
h30269.CSI,600720.SH,20211231,1.718
h30269.CSI,600502.SH,20211231,1.689
h30269.CSI,601009.SH,20211231,1.677
h30269.CSI,601838.SH,20211231,1.659
h30269.CSI,001696.SZ,20211231,1.589
h30269.CSI,000002.SZ,20211231,1.54
h30269.CSI,600015.SH,20211231,1.54
h30269.CSI,601166.SH,20211231,1.537
h30269.CSI,600900.SH,20211231,1.531
h30269.CSI,600585.SH,20211231,1.518
h30269.CSI,600663.SH,20211231,1.503
h30269.CSI,601668.SH,20211231,1.487
h30269.CSI,600820.SH,20211231,1.437
